Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Region,State,Product_ID,Product_Name,Category,Sub_Category,Sales,Quantity,Discount,Profit
ORD-202407-08777,2024-07-10,2024-07-13,Standard Class,CUST-1115,Myra Mehra,Corporate,West,Goa,PROD-0172,Projector Portable,Office Supplies,Office Equipment,33768.65,2,0.15,10271.84
ORD-202302-02200,2023-02-16,2023-02-16,Same Day,CUST-1488,Akash Patel,Consumer,West,Madhya Pradesh,PROD-0131,Boat Airdopes 500,Technology,Accessories,1167.0,1,0.0,309.09
ORD-202306-09597,2023-06-09,2023-06-12,First Class,CUST-1349,Tanvi Banerjee,Consumer,West,Maharashtra,PROD-0175,Desk Organizer Wood,Office Supplies,Binders & Organizers,1481.05,1,0.3,-18.33
ORD-202402-08491,2024-02-15,2024-02-15,Same Day,CUST-1356,Nikhil Saxena,Corporate,South,Telangana,PROD-0141,Coffee Table,Furniture,Tables,20180.92,1,0.2,-2506.96
ORD-202304-03315,2023-04-05,2023-04-05,Same Day,CUST-1023,Aanya Jain,Consumer,East,West Bengal,PROD-0135,Mesh Back Chair,Furniture,Chairs,13907.56,4,0.0,-431.05
ORD-202208-03890,2022-08-23,2022-08-28,Standard Class,CUST-1381,Riya Reddy,Consumer,North,Punjab,PROD-0145,Filing Cabinet,Furniture,Storage,57638.36,3,0.05,11506.81
ORD-202202-03750,2022-02-12,2022-02-15,First Class,CUST-1105,Aditya Mehra,Small Business,East,Assam,PROD-0156,A4 Paper 500 Sheets,Office Supplies,Paper,5218.93,3,0.05,1996.82
ORD-202201-00705,2022-01-09,2022-01-09,Same Day,CUST-1078,Anjali Malhotra,Consumer,North,Uttarakhand,PROD-0166,Gel Pen Pack 20,Office Supplies,Writing,8090.0,3,0.0,2264.6
ORD-202306-02255,2023-06-10,2023-06-12,Second Class,CUST-1128,Rahul Jain,Home Office,North,Uttarakhand,PROD-0108,Realme GT 5,Technology,Phones,26048.29,1,0.0,7358.84
ORD-202302-09604,2023-02-05,2023-02-12,Standard Class,CUST-1439,Sai Bhatia,Corporate,South,Kerala,PROD-0114,Acer Predator Helios,Technology,Laptops,204724.05,2,0.05,53662.83
ORD-202403-07830,2024-03-21,2024-03-26,Second Class,CUST-1073,Isha Banerjee,Consumer,North,Haryana,PROD-0114,Acer Predator Helios,Technology,Laptops,180393.43,2,0.0,57294.21
ORD-202210-06831,2022-10-02,2022-10-05,Standard Class,CUST-1126,Shruti Tiwari,Consumer,South,Kerala,PROD-0164,Whiteboard Marker Set,Office Supplies,Writing,573.0,1,0.25,94.9
